model-name,valid-json,intent-correct,cpc-name-correct,spc-length-correct,is-isomorphic,is-matched,spc-precision,spc-recall
llama23b,0.9955519611807522,0.9789729073999192,0.001213101496158512,0.528507885159725,0.23453295592397896,0.0,0.599137350047176,0.8916295996765062
llama27b,0.9995956328346138,0.9623938536190861,0.016983420946219168,0.5495349777598059,0.2272543469470279,0.0004043671653861706,0.6213101496158512,0.9029518803073191
llama23b-context,0.4423776789324707,0.9866558835422564,0.0008087343307723412,0.029923170238576626,0.00606550748079256,0.0,0.3903154063890012,0.8111605337646584
llama27b-context,1.0,0.9579458147998382,0.2288718156085726,0.5374039627982208,0.22401940962393854,0.028305701577031946,0.5975198813856315,0.8773419598328617
