model-name,is_parsed,valid-json,intent-correct,cpc-name-correct,spc-length-correct,is-isomorphic,is-matched,spc-precision,spc-recall
llama23b,0.4173069146785281,1.0,0.41366761019005255,0.0,0.272543469470279,0.1128184391427416,0.0,0.27348699285618006,0.3646043941231972
llama27b,0.532955923978973,1.0,0.5317428224828143,0.0,0.3291548726243429,0.14840274969672462,0.0,0.3504515433346812,0.47661409893516643
llama23b-context,0.1884350990699555,1.0,0.1803477557622321,0.0,0.12737565709664375,0.04933279417711282,0.0,0.12724086804151502,0.1544682571775172
llama27b-context,0.35099069955519613,1.0,0.3501819652244238,0.0,0.2632430246663971,0.12373635260816822,0.0,0.24895538482275237,0.3036797412050142
